n_e_cm3,R_Te15800,R_Te17300,R_Te18800
5.495408738576245788e+00,1.487470625546062630e-01,1.270312565280465045e-01,1.113073315013147074e-01
5.623413251903491172e+00,1.486905065959702454e-01,1.269844459755173627e-01,1.112674587904733947e-01
5.754399373371569482e+00,1.486326734733554311e-01,1.269365772912924017e-01,1.112266839967058912e-01
5.888436553555889574e+00,1.485735352886121685e-01,1.268876273133546229e-01,1.111849873376804104e-01
6.025595860743577781e+00,1.485130635779438601e-01,1.268375724077976108e-01,1.111423486263355964e-01
6.165950018614822170e+00,1.484512293024864427e-01,1.267863884608565750e-01,1.110987472639630574e-01
6.309573444801933384e+00,1.483880028388329941e-01,1.267340508708846847e-01,1.110541622332376216e-01
6.456542290346556356e+00,1.483233539695043290e-01,1.266805345402783889e-01,1.110085720911982987e-01
6.606934480075961069e+00,1.482572518733759337e-01,1.266258138673582445e-01,1.109619549621856799e-01
6.760829753919819218e+00,1.481896651160634626e-01,1.265698627382068342e-01,1.109142885307361909e-01
6.918309709189363943e+00,1.481205616402757885e-01,1.265126545184721563e-01,1.108655500344403882e-01
7.079457843841378661e+00,1.480499087561417126e-01,1.264541620451392623e-01,1.108157162567680737e-01
7.244359600749900707e+00,1.479776731315170513e-01,1.263943576182772477e-01,1.107647635198649033e-01
7.413102413009174718e+00,1.479038207822815920e-01,1.263332129927679515e-01,1.107126676773263207e-01
7.585775750291837483e+00,1.478283170626323861e-01,1.262706993700216940e-01,1.106594041069532131e-01
7.762471166286917246e+00,1.477511266553833136e-01,1.262067873896884074e-01,1.106049477034957151e-01
7.943282347242815788e+00,1.476722135622803300e-01,1.261414471213700983e-01,1.105492728713898115e-01
8.128305161640993148e+00,1.475915410943408890e-01,1.260746480563439409e-01,1.104923535174953814e-01
8.317637711026710789e+00,1.475090718622301955e-01,1.260063590993028559e-01,1.104341630438398780e-01
8.511380382023766344e+00,1.474247677666834233e-01,1.259365485601230406e-01,1.103746743403763025e-01
8.709635899560806749e+00,1.473385899889853023e-01,1.258651841456674969e-01,1.103138597777626462e-01
8.912509381337455849e+00,1.472504989815219822e-01,1.257922329516352189e-01,1.102516912001706428e-01
9.120108393559096527e+00,1.471604544584139140e-01,1.257176614544662507e-01,1.101881399181321025e-01
9.332543007969910320e+00,1.470684153862472643e-01,1.256414355033131647e-01,1.101231767014318602e-01
9.549925860214358408e+00,1.469743399749149915e-01,1.255635203120906707e-01,1.100567717720565553e-01
9.772372209558106704e+00,1.468781856685843212e-01,1.254838804516149597e-01,1.099888947972090802e-01
1.000000000000000000e+01,1.467799091368058861e-01,1.254024798418452713e-01,1.099195148823988444e-01
1.023292992280754099e+01,1.466794662657798232e-01,1.253192817442412843e-01,1.098486005646185371e-01
1.047128548050899610e+01,1.465768121497976473e-01,1.252342487542483784e-01,1.097761198056194376e-01
