n_e_cm3,R_Te15800,R_Te17300,R_Te18800
7.079457843841380793e+01,1.242018907127170613e-01,1.066199415730773870e-01,9.384913586887688730e-02
7.244359600749902484e+01,1.236770382368510557e-01,1.061813662713459588e-01,9.347241146626099340e-02
7.413102413009177383e+01,1.231440626631256502e-01,1.057359112938527912e-01,9.308970778633884890e-02
7.585775750291840325e+01,1.226029197121889652e-01,1.052835353070361440e-01,9.270098599096740499e-02
7.762471166286920266e+01,1.220535682226051993e-01,1.048241994803648935e-01,9.230620931036469246e-02
7.943282347242816854e+01,1.214959702863883662e-01,1.043578676009047912e-01,9.190534314232323698e-02
8.128305161640994925e+01,1.209300913853135484e-01,1.038845061887930521e-01,9.149835515239861106e-02
8.317637711026708303e+01,1.203559005277853033e-01,1.034040846134492153e-01,9.108521537493283193e-02
8.511380382023763502e+01,1.197733703860349164e-01,1.029165752103398251e-01,9.066589631476515421e-02
8.709635899560805683e+01,1.191824774334018927e-01,1.024219533981037406e-01,9.024037304947182814e-02
8.912509381337454784e+01,1.185832020814465843e-01,1.019201977958351518e-01,8.980862333196887315e-02
9.120108393559097237e+01,1.179755288166268318e-01,1.014112903403115024e-01,8.937062769330163248e-02
9.332543007969910320e+01,1.173594463362613999e-01,1.008952164029415371e-01,8.892636954543692296e-02
9.549925860214358408e+01,1.167349476834907557e-01,1.003719649062013441e-01,8.847583528386394891e-02
9.772372209558106704e+01,1.161020303809362775e-01,9.984152843931477783e-02,8.801901438980203052e-02
1.000000000000000000e+02,1.154606965627458931e-01,9.930390337292555047e-02,8.755589953180364926e-02
1.023292992280754703e+02,1.148109531047082355e-01,9.875908997250028298e-02,8.708648666653456827e-02
1.047128548050899610e+02,1.141528117521037611e-01,9.820709251019110742e-02,8.661077513850296006e-02
1.071519305237606972e+02,1.134862892449555877e-01,9.764791937488015439e-02,8.612876777850309029e-02
1.096478196143185073e+02,1.128114074403329392e-01,9.708158318012015398e-02,8.564047100053144568e-02
